uri,request_datetime,actual_datetime
www.washingtonpost.com,2016-05-01T01:00:00,"Sun, 01 May 2016 01:10:16 GMT"
www.washingtonpost.com,2016-05-02T01:00:00,"Mon, 02 May 2016 00:53:59 GMT"
www.washingtonpost.com,2016-05-03T01:00:00,"Tue, 03 May 2016 00:52:57 GMT"
www.washingtonpost.com,2016-05-04T01:00:00,"Wed, 04 May 2016 00:58:38 GMT"
www.washingtonpost.com,2016-05-05T01:00:00,"Thu, 05 May 2016 00:58:59 GMT"
www.washingtonpost.com,2016-05-06T01:00:00,"Fri, 06 May 2016 00:53:44 GMT"
www.washingtonpost.com,2016-05-07T01:00:00,"Sat, 07 May 2016 00:56:07 GMT"
www.washingtonpost.com,2016-05-08T01:00:00,"Sun, 08 May 2016 01:01:02 GMT"
www.washingtonpost.com,2016-05-09T01:00:00,"Mon, 09 May 2016 00:37:15 GMT"
www.washingtonpost.com,2016-05-10T01:00:00,"Tue, 10 May 2016 00:54:24 GMT"
www.washingtonpost.com,2016-05-11T01:00:00,"Wed, 11 May 2016 00:33:26 GMT"
www.washingtonpost.com,2016-05-12T01:00:00,"Thu, 12 May 2016 00:27:55 GMT"
www.washingtonpost.com,2016-05-13T01:00:00,"Fri, 13 May 2016 01:19:59 GMT"
www.washingtonpost.com,2016-05-14T01:00:00,"Sat, 14 May 2016 00:32:09 GMT"
www.washingtonpost.com,2016-05-15T01:00:00,"Sun, 15 May 2016 00:40:49 GMT"
www.washingtonpost.com,2016-05-16T01:00:00,"Mon, 16 May 2016 01:14:18 GMT"
www.washingtonpost.com,2016-05-17T01:00:00,"Tue, 17 May 2016 01:15:34 GMT"
www.washingtonpost.com,2016-05-18T01:00:00,"Wed, 18 May 2016 00:29:17 GMT"
www.washingtonpost.com,2016-05-19T01:00:00,"Thu, 19 May 2016 00:29:17 GMT"
www.washingtonpost.com,2016-05-20T01:00:00,"Fri, 20 May 2016 00:30:15 GMT"
www.washingtonpost.com,2016-05-21T01:00:00,"Sat, 21 May 2016 00:58:03 GMT"
www.washingtonpost.com,2016-05-22T01:00:00,"Sun, 22 May 2016 01:11:12 GMT"
www.washingtonpost.com,2016-05-23T01:00:00,"Mon, 23 May 2016 00:45:13 GMT"
www.washingtonpost.com,2016-05-24T01:00:00,"Tue, 24 May 2016 00:50:13 GMT"
www.washingtonpost.com,2016-05-25T01:00:00,"Wed, 25 May 2016 00:58:14 GMT"
www.washingtonpost.com,2016-05-26T01:00:00,"Wed, 25 May 2016 23:55:05 GMT"
www.washingtonpost.com,2016-05-27T01:00:00,"Fri, 27 May 2016 00:06:15 GMT"
www.washingtonpost.com,2016-05-28T01:00:00,"Sat, 28 May 2016 01:07:39 GMT"
www.washingtonpost.com,2016-05-29T01:00:00,"Sun, 29 May 2016 01:52:42 GMT"
www.washingtonpost.com,2016-05-30T01:00:00,"Mon, 30 May 2016 01:20:00 GMT"
www.washingtonpost.com,2016-05-31T01:00:00,"Tue, 31 May 2016 01:02:44 GMT"
www.foxnews.com,2016-05-01T01:00:00,"Sun, 01 May 2016 04:05:37 GMT"
www.foxnews.com,2016-05-02T01:00:00,"Mon, 02 May 2016 01:57:32 GMT"
www.foxnews.com,2016-05-03T01:00:00,"Mon, 02 May 2016 15:03:43 GMT"
www.foxnews.com,2016-05-04T01:00:00,"Tue, 03 May 2016 21:38:00 GMT"
www.foxnews.com,2016-05-05T01:00:00,"Thu, 05 May 2016 01:18:52 GMT"
www.foxnews.com,2016-05-06T01:00:00,"Fri, 06 May 2016 00:50:45 GMT"
www.foxnews.com,2016-05-07T01:00:00,"Sat, 07 May 2016 00:25:23 GMT"
www.foxnews.com,2016-05-08T01:00:00,"Sat, 07 May 2016 12:00:43 GMT"
www.foxnews.com,2016-05-09T01:00:00,"Sun, 08 May 2016 17:21:36 GMT"
www.foxnews.com,2016-05-10T01:00:00,"Tue, 10 May 2016 00:58:08 GMT"
www.foxnews.com,2016-05-11T01:00:00,"Tue, 10 May 2016 22:07:14 GMT"
www.foxnews.com,2016-05-12T01:00:00,"Thu, 12 May 2016 00:31:17 GMT"
www.foxnews.com,2016-05-13T01:00:00,"Fri, 13 May 2016 00:28:11 GMT"
www.foxnews.com,2016-05-14T01:00:00,"Fri, 13 May 2016 21:49:54 GMT"
www.foxnews.com,2016-05-15T01:00:00,"Sat, 14 May 2016 22:40:38 GMT"
www.foxnews.com,2016-05-16T01:00:00,"Mon, 16 May 2016 00:40:59 GMT"
www.foxnews.com,2016-05-17T01:00:00,"Tue, 17 May 2016 00:57:01 GMT"
www.foxnews.com,2016-05-18T01:00:00,"Wed, 18 May 2016 00:35:57 GMT"
www.foxnews.com,2016-05-19T01:00:00,"Thu, 19 May 2016 01:12:40 GMT"
www.foxnews.com,2016-05-20T01:00:00,"Fri, 20 May 2016 01:22:11 GMT"
www.foxnews.com,2016-05-21T01:00:00,"Sat, 21 May 2016 00:57:06 GMT"
www.foxnews.com,2016-05-22T01:00:00,"Sun, 22 May 2016 01:17:32 GMT"
www.foxnews.com,2016-05-23T01:00:00,"Mon, 23 May 2016 01:00:23 GMT"
www.foxnews.com,2016-05-24T01:00:00,"Tue, 24 May 2016 00:33:52 GMT"
www.foxnews.com,2016-05-25T01:00:00,"Tue, 24 May 2016 22:32:58 GMT"
www.foxnews.com,2016-05-26T01:00:00,"Thu, 26 May 2016 00:46:18 GMT"
www.foxnews.com,2016-05-27T01:00:00,"Fri, 27 May 2016 00:14:07 GMT"
www.foxnews.com,2016-05-28T01:00:00,"Fri, 27 May 2016 22:36:09 GMT"
www.foxnews.com,2016-05-29T01:00:00,"Sat, 28 May 2016 21:32:49 GMT"
www.foxnews.com,2016-05-30T01:00:00,"Mon, 30 May 2016 01:50:30 GMT"
www.foxnews.com,2016-05-31T01:00:00,"Mon, 30 May 2016 18:57:51 GMT"
abcnews.go.com,2016-05-01T01:00:00,"Sat, 30 Apr 2016 22:03:48 GMT"
abcnews.go.com,2016-05-02T01:00:00,"Sun, 01 May 2016 22:09:45 GMT"
abcnews.go.com,2016-05-03T01:00:00,"Tue, 03 May 2016 01:41:45 GMT"
abcnews.go.com,2016-05-04T01:00:00,"Tue, 03 May 2016 22:13:02 GMT"
abcnews.go.com,2016-05-05T01:00:00,"Thu, 05 May 2016 01:12:21 GMT"
abcnews.go.com,2016-05-06T01:00:00,"Fri, 06 May 2016 01:22:35 GMT"
abcnews.go.com,2016-05-07T01:00:00,"Fri, 06 May 2016 22:10:47 GMT"
abcnews.go.com,2016-05-08T01:00:00,"Sun, 08 May 2016 02:53:45 GMT"
abcnews.go.com,2016-05-09T01:00:00,"Mon, 09 May 2016 03:41:34 GMT"
abcnews.go.com,2016-05-10T01:00:00,"Tue, 10 May 2016 02:14:56 GMT"
abcnews.go.com,2016-05-11T01:00:00,"Wed, 11 May 2016 00:48:03 GMT"
